user,activity,timestamp,x-axis,y-axis,z-axis,Date,Total_Distance,Very_Active_Distance,Moderately_Active_Distance,Light_Active_Distance,Sedentary_Active_Distance,Very_Active_Minutes,Fairly_Active_Minutes,Lightly_Active_Minutes,Sedentary_Minutes,Steps,Calories_Burned
7,Standing,2.09E+14,-7.89,5.43,-1.14,4/20/2016,8.020000458,2.029999971,0.479999989,5.519999981,0,26,10,349,587,10449,2536
12,Jogging,1.83E+13,-3.87,0.69,-0.89,4/13/2016,5.820000172,2.279999971,0.899999976,2.640000105,0,30,16,135,1259,8001,2902
8,Jogging,1.12E+14,-2.49,-1.18,-1.95,4/25/2016,0.109999999,0,0,0.109999999,0,0,0,12,1303,152,2100
10,Walking,4.21E+12,-4.29,16.63,-5.63,4/26/2016,7.210000038,0,0.340000004,6.869999886,0,0,7,352,1077,9543,2450
20,Sitting,5.88E+13,-1.31,3.49,9.43,5/9/2016,7.860000134,0.340000004,0.730000019,6.789999962,0,6,19,258,1020,10218,3013
5,Walking,1.37E+12,1.23,13.33,-0.08172209,4/28/2016,0.5,0.059999999,0.200000003,0.239999995,0,2,13,15,1410,703,1993
21,Downstairs,1.19E+14,-0.23,2.07,1.33,4/13/2016,5.5,0.529999971,0.589999974,1.309999943,0,8,15,96,1234,8204,2135
24,Downstairs,1.58E+13,9.81,6.32,-1.04,5/3/2016,4.980000019,0.059999999,0.25,4.659999847,0.01,1,6,363,1070,7412,1906
33,Sitting,6.69E+11,5.67,2.68,7.82,4/13/2016,1.99000001,0,0,1.99000001,0,0,0,194,840,2961,2095
5,Walking,1.86E+12,2.6,5.67,2.5606253,5/8/2016,5.829999924,0,0,5.820000172,0,0,0,251,1189,7706,2712
36,Jogging,1.35E+13,6.89,19.57,-2.5606253,4/30/2016,9.199999809,3.690000057,2.099999905,3.410000086,0,43,52,194,687,13238,1650
6,Walking,3.87E+12,-0.46,15.75,6.66035,5/5/2016,8.899999619,2.920000076,1.080000043,4.880000114,0,45,24,250,857,14070,1959
32,Downstairs,2.54E+13,-4.56,6.21,-1.9885708,4/28/2016,1.159999967,0,0,1.159999967,0,0,0,95,1167,1675,2351
20,Sitting,5.87E+13,0.5,4.79,8.77,5/1/2016,2.269999981,0,0,2.269999981,0,0,0,190,1121,3428,1692
14,Walking,5.94E+13,6.09,10.99,-1.42,4/27/2016,8.180000305,6.239999771,0.230000004,1.700000048,0,45,5,104,1286,10232,2008
8,Jogging,1.12E+14,18.62,18.5,-6.02,4/28/2016,8.350000381,2.50999999,0.239999995,5.590000153,0,38,8,288,621,12627,2182
30,Walking,1.85E+11,4.56,-2.07,-1.92,5/12/2016,0,0,0,0,0,0,0,0,1440,0,0
12,Walking,1.78E+13,2.72,11.03,2.87,5/6/2016,2.680000067,0,0,2.680000067,0,0,0,133,673,3365,1838
7,Walking,2.09E+14,11.6,18.89,-1.65,5/7/2016,5.440000057,1.610000014,1,2.829999924,0,23,16,233,1116,8237,1973
1,Jogging,6.07E+12,12.11,19.57,-10.8,4/24/2016,10,3.269999981,4.559999943,2.170000076,0,30,95,129,660,14112,1655
