OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Street Address,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,659000030,"Av. Meritxell, 96",7,DOWNTOWN,1927,1,12,88434,0,88434,Hotel,Hotel,88434,,,,,,65,78.9,80.3,173.5,175.1,6981428,7097539,2023032,1080307,3686160,12724,1272388,0,249.43,2.64,No,,Compliant,,,14,,31,18081
2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,659000220,"1 Street 69, Al Jarf",7,DOWNTOWN,1996,1,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880,Parking,15064,Restaurant,4622,,51,94.4,99,191.3,195.2,8354235,8765788,0,1144563,3905411,44490,4448985,0,263.51,2.38,No,,Compliant,,,14,,31,18081
3,2015,NonResidential,Hotel,WESTIN HOTEL,659000475,Sheikh Khalifa Bin Zayed St.,7,DOWNTOWN,1969,1,41,961990,0,961990,"Hotel, Parking, Swimming Pool",Hotel,757243,Parking,100000,Swimming Pool,0,,18,96.6,99.7,242.7,246.5,73130656,75506272,19660404,14583930,49762435,37099,3709900,0,2061.48,1.92,Yes,,Compliant,,,56,,31,18081
5,2015,NonResidential,Hotel,HOTEL MAX,659000640,Al Salam Street,7,DOWNTOWN,1926,1,10,61320,0,61320,Hotel,Hotel,61320,,,,,,1,460.4,462.5,636.3,643.2,28229320,28363444,23458518,811521,2769023,20019,2001894,0,1936.34,31.38,No,,Compliant,High Outlier,,56,,31,18081
8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,659000970,"Khaldiya Area, Abu Dhabi Island",7,DOWNTOWN,1980,1,18,119890,12460,107430,"Hotel, Parking, Swimming Pool",Hotel,123445,Parking,68009,Swimming Pool,0,,67,120.1,122.1,228.8,227.1,14829099,15078243,0,1777841,6066245,87631,8763105,0,507.7,4.02,No,,Compliant,,,56,,31,19576
9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),660000560,"Dalma Mall, Mussafah",7,DOWNTOWN,1999,1,2,97288,37198,60090,Police Station,Police Station,88830,,,,,,,135.7,146.9,313.5,321.6,12051984,13045258,0,2130921,7271004,47813,4781283,0,304.62,2.81,No,,Compliant,,,56,,7,19576
10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,660000825,"Dalma Mall, Mussafah",7,DOWNTOWN,1926,1,11,83008,0,83008,Hotel,Hotel,81352,,,,,,25,76.9,79.6,149.5,158.2,6252842,6477493,0,785342,2679698,35733,3573255,0,208.46,2.37,No,,Compliant,,,14,,31,18081
11,2015,NonResidential,Other,PARAMOUNT THEATER,660000955,Yas Island,7,DOWNTOWN,1926,1,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761,,,,,,,62.5,71.8,152.2,160.4,6426022,7380086,2003108,1203937,4108004,3151,315079,0,199.99,1.77,No,,Compliant,,,14,,31,18081
12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,939000080,Khalidiya St.,7,DOWNTOWN,1904,1,15,163984,0,163984,Hotel,Hotel,163984,,,,,,46,77,82.9,174.6,186.8,12633744,13589025,0,2155728,7355649,52784,5278400,0,331.61,1.83,No,,Compliant,,,14,,19,18379
13,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,939000105,"Al Salam Street, The Mangroves",7,DOWNTOWN,1910,1,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132,,,,,,2,81.7,92.7,178.1,190.8,4587231,5203458,1483476,694593,2370050,7338,733803,0,170,2.51,No,,Compliant,,,14,,19,18379
