Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
San Antonio,2024/4/29 13:23,39.80821297,72.89990795,9.598282137,29.89862167
San Jose,2024/5/18 9:14,-1.607088038,82.19870131,4.101492972,25.64728207
San Jose,2024/4/22 3:13,34.53965433,57.79300985,3.583559549,13.04474502
New York,2024/2/2 2:17,-2.862063146,53.3951721,5.473386906,28.51943017
Philadelphia,2024/4/20 9:34,0.351373257,88.01515668,1.795374482,21.66546592
Dallas,2024/3/22 2:34,17.43949491,56.21016081,9.72897082,9.497026568
Philadelphia,2024/3/16 23:47,23.40568084,78.9145056,7.767704375,3.675792063
Phoenix,2024/1/29 7:08,1.512626785,89.41784602,5.210117251,7.332915455
San Jose,2024/2/27 23:17,34.88256215,51.26609075,8.170773092,28.58185587
San Antonio,2024/3/13 22:42,18.25073612,89.90912122,5.597309931,18.7553257
Houston,2024/3/6 21:37,37.51556044,75.94624315,0.034862375,24.30661696
Philadelphia,2024/1/28 4:20,1.261871974,31.19578807,7.476354663,18.37136893
Houston,2024/4/16 20:54,24.26456868,87.39781381,4.183074542,22.97140224
Phoenix,2024/3/15 1:15,-6.095629317,54.08685742,1.591349071,2.985199143
Phoenix,2024/2/2 2:53,7.803269145,76.85895656,13.98165648,12.36436816
San Antonio,2024/5/2 3:49,15.85404486,56.8098298,7.864779614,6.738186624
Houston,2024/2/3 2:14,30.23386954,54.6647669,0.209520589,1.633426206
New York,2024/2/14 20:17,-2.923340726,63.3064934,2.733319673,16.56758127
Los Angeles,2024/4/2 21:49,11.95893884,40.42690481,5.676112997,2.672287015
San Antonio,2024/2/5 3:56,38.59503895,80.88425542,4.459529751,10.75664702
New York,2024/1/14 9:27,24.36024296,45.71420844,0.803966072,29.60974167
San Antonio,2024/4/13 16:14,5.763065333,61.44801139,1.206712006,23.82855634
Houston,2024/4/27 19:12,-6.905312401,54.60398581,4.535152636,27.47975027
San Diego,2024/1/6 19:31,18.36567737,65.59930285,1.177652886,25.7992779
Philadelphia,2024/1/25 4:48,-7.35183292,39.76742219,7.075503986,7.321483768
San Antonio,2024/5/12 11:47,3.537129078,54.45669196,5.492144754,10.61370407
Houston,2024/1/28 15:39,6.757613231,50.73299996,4.557164065,11.19533076
San Diego,2024/1/20 23:48,-2.851690922,37.53787989,0.262789105,28.41753045
Phoenix,2024/4/19 20:16,3.124136251,44.91053098,2.688971248,22.82139307
Los Angeles,2024/4/19 11:15,-4.002277811,86.38576195,8.321605338,3.769103545
San Jose,2024/1/5 12:04,17.74667373,67.68483103,1.019996436,16.28896177
Chicago,2024/3/29 5:06,19.72245663,33.1639971,5.921976019,26.33507361
Los Angeles,2024/3/23 17:41,24.72306895,78.37473213,5.428988396,4.775756565
New York,2024/3/31 2:20,39.47396777,54.62465513,2.923340248,28.25858231
Los Angeles,2024/1/10 19:17,30.58616042,83.44651969,0.419537878,18.81694146
Los Angeles,2024/3/8 5:59,-3.492069458,43.50583966,4.01569343,0.674126578
Chicago,2024/3/18 10:51,28.33987227,73.41647012,9.842190573,25.73756377
Phoenix,2024/1/8 9:55,31.4644661,44.95030716,9.653469194,1.152991748
Houston,2024/5/12 11:21,-8.351635085,81.36815415,6.634491328,11.68564987
San Diego,2024/3/27 12:32,22.92993152,82.3514676,9.745350383,6.968079364
Chicago,2024/5/5 21:35,39.39756057,80.46337213,4.990892097,28.89118341
New York,2024/3/12 15:44,19.59012227,70.99790932,0.702744261,24.52681339
San Antonio,2024/2/28 17:40,9.767903676,50.7586919,8.379767772,4.605851769
Dallas,2024/4/29 18:07,1.153667151,80.61860418,9.035605793,28.45911317
Phoenix,2024/4/1 16:20,18.75835428,54.18464185,1.299590262,11.21807929
San Antonio,2024/4/17 1:56,31.3261004,74.49908669,1.08809822,22.23148392
San Diego,2024/1/9 18:08,39.68121592,47.453402,1.365942486,12.00499599
Chicago,2024/2/15 1:04,26.30826746,70.33784811,4.130475273,28.49413742
Chicago,2024/3/2 19:46,3.74021594,53.23680356,3.480327748,12.84949993
Houston,2024/4/21 3:59,19.06990892,32.06301479,6.996280009,9.516671047
Chicago,2024/3/30 23:41,-6.544617975,42.73958121,9.064571157,6.806689438
San Antonio,2024/3/14 4:22,23.24850932,73.93337356,7.383121433,1.315372507
San Diego,2024/5/15 13:09,-6.686624451,74.8009639,1.388777621,16.82210915
Philadelphia,2024/3/12 17:00,2.531874409,42.28124886,7.10843505,10.09961688
Phoenix,2024/1/21 6:04,2.012905999,88.91115979,11.21232069,0.04823467
Chicago,2024/2/2 13:42,29.93484571,40.2926581,2.315314455,16.48110494
Phoenix,2024/2/11 7:15,-9.192125416,83.28952916,4.79398342,3.524131747
San Jose,2024/1/22 19:06,7.172242127,41.60109293,4.93420244,25.77726054
San Antonio,2024/1/18 16:50,16.35074368,84.37126108,8.946325924,19.23235739
San Antonio,2024/3/21 6:55,-3.653726805,71.95097835,5.866254555,13.66426412
Phoenix,2024/5/18 5:24,18.39650119,86.64538528,0.177868464,18.77207599
New York,2024/2/19 12:39,36.63803928,37.2932726,1.301439715,6.370700114
San Jose,2024/1/11 22:46,-1.863888674,36.58939755,7.450874286,18.28828939
Dallas,2024/2/15 14:47,11.1656714,43.2839389,1.517557681,2.404976537
San Diego,2024/4/28 14:29,5.179459866,69.68941612,0.656264122,1.955837611
San Jose,2024/5/13 23:09,4.79324655,63.54488133,7.423216694,0.90493933
Los Angeles,2024/4/7 16:28,14.49031078,31.9659629,6.342329773,16.0542782
New York,2024/3/9 23:36,22.73836346,88.21891073,1.703060572,13.09010762
Phoenix,2024/3/31 6:06,27.13102109,72.65208992,5.345287908,23.19471443
San Diego,2024/2/19 7:08,24.69272722,46.4904514,6.165734407,17.47649643
Dallas,2024/1/24 5:31,21.64027994,31.32461985,8.98336856,18.44223364
San Diego,2024/4/5 6:01,-0.277015188,58.24196384,0.91036307,16.12109868
San Diego,2024/2/10 1:36,-1.411325323,48.93163476,1.127506342,7.193917988
Phoenix,2024/3/16 9:38,23.52981068,70.91256461,2.890767095,4.353554654
San Jose,2024/4/8 7:23,23.26050034,73.7235096,0.554113826,13.26130096
Philadelphia,2024/3/2 12:54,38.83276316,52.57628412,0.842493545,15.2554349
Houston,2024/1/25 10:14,0.842834146,55.05582988,2.818195578,17.3971824
New York,2024/4/26 2:18,26.44660474,73.16638946,2.659422185,23.21187655
Los Angeles,2024/4/24 8:34,14.77672791,82.27741462,1.806686948,24.8866303
New York,2024/4/9 12:06,30.08869259,78.43804246,9.034605704,25.74406512
Los Angeles,2024/5/18 3:24,6.817889726,89.37735996,1.365166448,6.799121023
Chicago,2024/3/4 22:57,11.36837324,83.92625336,5.561051627,9.309119216
San Antonio,2024/4/9 3:34,25.85921945,33.41069297,6.354854844,23.01558755
Chicago,2024/2/29 22:40,36.9732422,88.84865451,6.280856341,25.21191241
Los Angeles,2024/4/25 17:54,37.65670493,61.68322761,0.735910809,28.91281168
